pA,pB,Cyan
0.0,0.0,0.0
0.0,0.01,0.0
0.0,0.02,0.0
0.0,0.029999999999999999,0.0
0.0,0.040000000000000001,0.0
0.0,0.050000000000000003,0.0
0.0,0.059999999999999998,0.0
0.0,0.070000000000000007,0.0
0.0,0.080000000000000002,0.0
0.0,0.089999999999999997,0.0
0.0,0.10000000000000001,0.0
0.0,0.11,0.0
0.0,0.12,0.0
0.0,0.13,0.0
0.0,0.14000000000000001,0.0
0.0,0.14999999999999999,0.0
0.0,0.16,0.0
0.0,0.17000000000000001,0.0
0.0,0.17999999999999999,0.0
0.0,0.19,0.0
0.0,0.20000000000000001,0.0
0.0,0.20999999999999999,0.0
0.0,0.22,0.0
0.0,0.23000000000000001,0.0
0.0,0.23999999999999999,0.0
0.0,0.25,0.0
0.0,0.26000000000000001,0.0
0.0,0.27000000000000002,0.0
0.0,0.28000000000000003,0.0
0.0,0.28999999999999998,0.0
0.0,0.29999999999999999,0.0
0.0,0.31,0.0
0.0,0.32000000000000001,0.0
0.0,0.33000000000000002,0.0
0.0,0.34000000000000002,0.0
0.0,0.35000000000000003,0.0
0.0,0.35999999999999999,0.0
0.0,0.37,0.0
0.0,0.38,0.0
0.0,0.39000000000000001,0.0
0.0,0.40000000000000002,0.0
0.0,0.41000000000000003,0.0
0.0,0.41999999999999998,0.0
0.0,0.42999999999999999,0.0
0.0,0.44,0.0
0.0,0.45000000000000001,0.0
0.0,0.46000000000000002,0.0
0.0,0.47000000000000003,0.0
0.0,0.47999999999999998,0.0
0.0,0.48999999999999999,0.0
0.0,0.5,0.0
0.0,0.51000000000000001,0.0
0.0,0.52000000000000002,0.0
0.0,0.53000000000000003,0.0
0.0,0.54000000000000004,0.0
0.0,0.55000000000000004,0.0
0.0,0.56000000000000005,0.0
0.0,0.57000000000000006,0.0
0.0,0.57999999999999996,0.0
0.0,0.58999999999999997,0.0
0.0,0.59999999999999998,0.0
0.0,0.60999999999999999,0.0
0.0,0.62,0.0
0.0,0.63,0.0
0.0,0.64000000000000001,0.0
0.0,0.65000000000000002,0.0
0.0,0.66000000000000003,0.0
0.0,0.67000000000000004,0.0
0.0,0.68000000000000005,0.0
0.0,0.69000000000000006,0.0
0.0,0.70000000000000007,0.0
0.0,0.70999999999999996,0.0
0.0,0.71999999999999997,0.0
0.0,0.72999999999999998,0.0
0.0,0.73999999999999999,0.0
0.0,0.75,0.0
0.0,0.76000000000000001,0.0
0.0,0.77000000000000002,0.0
0.0,0.78000000000000003,0.0
0.0,0.79000000000000004,0.0
0.0,0.80000000000000004,0.0
0.0,0.81000000000000005,0.0
0.0,0.82000000000000006,0.0
0.0,0.83000000000000007,0.0
0.0,0.83999999999999997,0.0
0.0,0.84999999999999998,0.0
0.0,0.85999999999999999,0.0
0.0,0.87,0.0
0.0,0.88,0.0
0.0,0.89000000000000001,0.0
0.0,0.90000000000000002,0.0
0.0,0.91000000000000003,0.0
0.0,0.92000000000000004,0.0
0.0,0.93000000000000005,0.0
0.0,0.94000000000000006,0.0
0.0,0.95000000000000007,0.0
0.0,0.95999999999999996,0.0
0.0,0.96999999999999997,0.0
0.0,0.97999999999999998,0.0
0.0,0.98999999999999999,0.0
0.0,1.0,0.0
0.01,0.0,0.0
0.01,0.01,0.0004
0.01,0.02,0.0008
0.01,0.029999999999999999,0.0012
0.01,0.040000000000000001,0.0016
0.01,0.050000000000000003,0.0019
0.01,0.059999999999999998,0.0023
0.01,0.070000000000000007,0.0027
0.01,0.080000000000000002,0.0031
0.01,0.089999999999999997,0.0034
0.01,0.10000000000000001,0.0038
0.01,0.11,0.0041
0.01,0.12,0.0045
0.01,0.13,0.0048
0.01,0.14000000000000001,0.0052
0.01,0.14999999999999999,0.0055
0.01,0.16,0.0059
0.01,0.17000000000000001,0.0062
0.01,0.17999999999999999,0.0065
0.01,0.19,0.0068
0.01,0.20000000000000001,0.0072
0.01,0.20999999999999999,0.0075
0.01,0.22,0.0078
0.01,0.23000000000000001,0.0081
0.01,0.23999999999999999,0.0084
0.01,0.25,0.0087
0.01,0.26000000000000001,0.009
0.01,0.27000000000000002,0.0093
0.01,0.28000000000000003,0.0096
0.01,0.28999999999999998,0.0099
0.01,0.29999999999999999,0.0101
0.01,0.31,0.0104
0.01,0.32000000000000001,0.0107
0.01,0.33000000000000002,0.011
0.01,0.34000000000000002,0.0112
0.01,0.35000000000000003,0.0115
0.01,0.35999999999999999,0.0117
0.01,0.37,0.012
0.01,0.38,0.0123
0.01,0.39000000000000001,0.0125
0.01,0.40000000000000002,0.0127
0.01,0.41000000000000003,0.013
0.01,0.41999999999999998,0.0132
0.01,0.42999999999999999,0.0134
0.01,0.44,0.0137
0.01,0.45000000000000001,0.0139
0.01,0.46000000000000002,0.0141
0.01,0.47000000000000003,0.0143
0.01,0.47999999999999998,0.0145
0.01,0.48999999999999999,0.0147
0.01,0.5,0.0149
0.01,0.51000000000000001,0.0151
0.01,0.52000000000000002,0.0153
0.01,0.53000000000000003,0.0155
0.01,0.54000000000000004,0.0157
0.01,0.55000000000000004,0.0159
0.01,0.56000000000000005,0.016
0.01,0.57000000000000006,0.0162
0.01,0.57999999999999996,0.0164
0.01,0.58999999999999997,0.0166
0.01,0.59999999999999998,0.0167
0.01,0.60999999999999999,0.0169
0.01,0.62,0.017
0.01,0.63,0.0172
0.01,0.64000000000000001,0.0173
0.01,0.65000000000000002,0.0175
0.01,0.66000000000000003,0.0176
0.01,0.67000000000000004,0.0177
0.01,0.68000000000000005,0.0179
0.01,0.69000000000000006,0.018
0.01,0.70000000000000007,0.0181
0.01,0.70999999999999996,0.0182
0.01,0.71999999999999997,0.0183
0.01,0.72999999999999998,0.0184
0.01,0.73999999999999999,0.0186
0.01,0.75,0.0187
0.01,0.76000000000000001,0.0188
0.01,0.77000000000000002,0.0188
0.01,0.78000000000000003,0.0189
0.01,0.79000000000000004,0.019
0.01,0.80000000000000004,0.0191
0.01,0.81000000000000005,0.0192
0.01,0.82000000000000006,0.0193
0.01,0.83000000000000007,0.0193
0.01,0.83999999999999997,0.0194
0.01,0.84999999999999998,0.0195
0.01,0.85999999999999999,0.0195
0.01,0.87,0.0196
0.01,0.88,0.0196
0.01,0.89000000000000001,0.0197
0.01,0.90000000000000002,0.0197
0.01,0.91000000000000003,0.0197
0.01,0.92000000000000004,0.0198
0.01,0.93000000000000005,0.0198
0.01,0.94000000000000006,0.0198
0.01,0.95000000000000007,0.0199
0.01,0.95999999999999996,0.0199
0.01,0.96999999999999997,0.0199
0.01,0.97999999999999998,0.0199
0.01,0.98999999999999999,0.0199
0.01,1.0,0.0199
0.02,0.0,0.0
0.02,0.01,0.0008
0.02,0.02,0.0016
0.02,0.029999999999999999,0.0023
0.02,0.040000000000000001,0.0031
0.02,0.050000000000000003,0.0039
0.02,0.059999999999999998,0.0046
0.02,0.070000000000000007,0.0053
0.02,0.080000000000000002,0.0061
0.02,0.089999999999999997,0.0068
0.02,0.10000000000000001,0.0075
0.02,0.11,0.0082
0.02,0.12,0.0089
0.02,0.13,0.0096
0.02,0.14000000000000001,0.0103
0.02,0.14999999999999999,0.011
0.02,0.16,0.0117
0.02,0.17000000000000001,0.0123
0.02,0.17999999999999999,0.013
0.02,0.19,0.0136
0.02,0.20000000000000001,0.0143
0.02,0.20999999999999999,0.0149
0.02,0.22,0.0155
0.02,0.23000000000000001,0.0161
0.02,0.23999999999999999,0.0167
0.02,0.25,0.0173
0.02,0.26000000000000001,0.0179
0.02,0.27000000000000002,0.0185
0.02,0.28000000000000003,0.0191
0.02,0.28999999999999998,0.0196
0.02,0.29999999999999999,0.0202
0.02,0.31,0.0207
0.02,0.32000000000000001,0.0213
0.02,0.33000000000000002,0.0218
0.02,0.34000000000000002,0.0224
0.02,0.35000000000000003,0.0229
0.02,0.35999999999999999,0.0234
0.02,0.37,0.0239
0.02,0.38,0.0244
0.02,0.39000000000000001,0.0249
0.02,0.40000000000000002,0.0253
0.02,0.41000000000000003,0.0258
0.02,0.41999999999999998,0.0263
0.02,0.42999999999999999,0.0267
0.02,0.44,0.0272
0.02,0.45000000000000001,0.0276
0.02,0.46000000000000002,0.0281
0.02,0.47000000000000003,0.0285
0.02,0.47999999999999998,0.0289
0.02,0.48999999999999999,0.0293
0.02,0.5,0.0297
0.02,0.51000000000000001,0.0301
0.02,0.52000000000000002,0.0305
0.02,0.53000000000000003,0.0309
0.02,0.54000000000000004,0.0312
0.02,0.55000000000000004,0.0316
0.02,0.56000000000000005,0.0319
0.02,0.57000000000000006,0.0323
0.02,0.57999999999999996,0.0326
0.02,0.58999999999999997,0.0329
0.02,0.59999999999999998,0.0333
0.02,0.60999999999999999,0.0336
0.02,0.62,0.0339
0.02,0.63,0.0342
0.02,0.64000000000000001,0.0345
0.02,0.65000000000000002,0.0347
0.02,0.66000000000000003,0.035
0.02,0.67000000000000004,0.0353
0.02,0.68000000000000005,0.0355
0.02,0.69000000000000006,0.0358
0.02,0.70000000000000007,0.036
0.02,0.70999999999999996,0.0363
0.02,0.71999999999999997,0.0365
0.02,0.72999999999999998,0.0367
0.02,0.73999999999999999,0.0369
0.02,0.75,0.0371
0.02,0.76000000000000001,0.0373
0.02,0.77000000000000002,0.0375
0.02,0.78000000000000003,0.0377
0.02,0.79000000000000004,0.0379
0.02,0.80000000000000004,0.038
0.02,0.81000000000000005,0.0382
0.02,0.82000000000000006,0.0383
0.02,0.83000000000000007,0.0385
0.02,0.83999999999999997,0.0386
