p,q,psquared_2pq
0.0,1.0,0.0
0.01,0.98999999999999999,0.0199
0.02,0.97999999999999998,0.0396
0.029999999999999999,0.96999999999999997,0.0591
0.040000000000000001,0.95999999999999996,0.0784
0.050000000000000003,0.94999999999999996,0.0975
0.059999999999999998,0.93999999999999995,0.1164
0.070000000000000007,0.92999999999999994,0.1351
0.080000000000000002,0.92000000000000004,0.1536
0.089999999999999997,0.91000000000000003,0.1719
0.10000000000000001,0.90000000000000002,0.19
0.11,0.89000000000000001,0.2079
0.12,0.88,0.2256
0.13,0.87,0.2431
0.14000000000000001,0.85999999999999999,0.2604
0.14999999999999999,0.84999999999999998,0.2775
0.16,0.83999999999999997,0.2944
0.17000000000000001,0.82999999999999996,0.3111
0.17999999999999999,0.82000000000000006,0.3276
0.19,0.81000000000000005,0.3439
0.20000000000000001,0.80000000000000004,0.36
0.20999999999999999,0.79000000000000004,0.3759
0.22,0.78000000000000003,0.3916
0.23000000000000001,0.77000000000000002,0.4071
0.23999999999999999,0.76000000000000001,0.4224
0.25,0.75,0.4375
0.26000000000000001,0.73999999999999999,0.4524
0.27000000000000002,0.72999999999999998,0.4671
0.28000000000000003,0.71999999999999997,0.4816
0.28999999999999998,0.70999999999999996,0.4959
0.29999999999999999,0.69999999999999996,0.51
0.31,0.68999999999999995,0.5239
0.32000000000000001,0.67999999999999994,0.5376
0.33000000000000002,0.66999999999999993,0.5511
0.34000000000000002,0.65999999999999992,0.5644
0.35000000000000003,0.64999999999999991,0.5775
0.35999999999999999,0.64000000000000001,0.5904
0.37,0.63,0.6031
0.38,0.62,0.6156
0.39000000000000001,0.60999999999999999,0.6279
0.40000000000000002,0.59999999999999998,0.64
0.41000000000000003,0.58999999999999997,0.6519
0.41999999999999998,0.58000000000000007,0.6636
0.42999999999999999,0.57000000000000006,0.6751
0.44,0.56000000000000005,0.6864
0.45000000000000001,0.55000000000000004,0.6975
0.46000000000000002,0.54000000000000004,0.7084
0.47000000000000003,0.53000000000000003,0.7191
0.47999999999999998,0.52000000000000002,0.7296
0.48999999999999999,0.51000000000000001,0.7399
0.5,0.5,0.75
0.51000000000000001,0.48999999999999999,0.7599
0.52000000000000002,0.47999999999999998,0.7696
0.53000000000000003,0.46999999999999997,0.7791
0.54000000000000004,0.45999999999999996,0.7884
0.55000000000000004,0.44999999999999996,0.7975
0.56000000000000005,0.43999999999999995,0.8064
0.57000000000000006,0.42999999999999994,0.8151
0.57999999999999996,0.42000000000000004,0.8236
0.58999999999999997,0.41000000000000003,0.8319
0.59999999999999998,0.40000000000000002,0.84
0.60999999999999999,0.39000000000000001,0.8479
0.62,0.38,0.8556
0.63,0.37,0.8631
0.64000000000000001,0.35999999999999999,0.8704
0.65000000000000002,0.34999999999999998,0.8775
0.66000000000000003,0.33999999999999997,0.8844
0.67000000000000004,0.32999999999999996,0.8911
0.68000000000000005,0.31999999999999995,0.8976
0.69000000000000006,0.30999999999999994,0.9039
0.70000000000000007,0.29999999999999993,0.91
0.70999999999999996,0.29000000000000004,0.9159
0.71999999999999997,0.28000000000000003,0.9216
0.72999999999999998,0.27000000000000002,0.9271
0.73999999999999999,0.26000000000000001,0.9324
0.75,0.25,0.9375
0.76000000000000001,0.23999999999999999,0.9424
0.77000000000000002,0.22999999999999998,0.9471
0.78000000000000003,0.21999999999999997,0.9516
0.79000000000000004,0.20999999999999996,0.9559
0.80000000000000004,0.19999999999999996,0.96
0.81000000000000005,0.18999999999999995,0.9639
0.82000000000000006,0.17999999999999994,0.9676
0.83000000000000007,0.16999999999999993,0.9711
0.83999999999999997,0.16000000000000003,0.9744
0.84999999999999998,0.15000000000000002,0.9775
0.85999999999999999,0.14000000000000001,0.9804
0.87,0.13,0.9831
0.88,0.12,0.9856
0.89000000000000001,0.10999999999999999,0.9879
0.90000000000000002,0.099999999999999978,0.99
0.91000000000000003,0.089999999999999969,0.9919
0.92000000000000004,0.07999999999999996,0.9936
0.93000000000000005,0.069999999999999951,0.9951
0.94000000000000006,0.059999999999999942,0.9964
0.95000000000000007,0.049999999999999933,0.9975
0.95999999999999996,0.040000000000000036,0.9984
0.96999999999999997,0.030000000000000027,0.9991
0.97999999999999998,0.020000000000000018,0.9996
0.98999999999999999,0.010000000000000009,0.9999
1.0,0.0,1.0
