id,Mig_rate,mean,sd,n,se,ci_mean,prop_sigPos,prop_pos,se_pos,ci_pos,se_sigPos,ci_sigPos,prop_sigNeg,prop_neg,se_neg,ci_neg,se_sigNeg,ci_sigNeg
Cyan,0,-0.00530661191876173,0.00459546226849005,500000,6.49896506547246e-06,1.2737971528326e-05,0.001336,0.121156,0.000461469876945397,0.000904480958812978,5.16568505427886e-05,0.000101247427063866,0.264094,0.878844,0.000461469876945397,0.000904480958812979,0.000623455466194659,0.00122197271374153
Cyan,0.001,-0.00551150768405253,0.00438631407325116,500000,6.20318485121976e-06,1.21582423083907e-05,0.001722,0.106638,0.000436500485580486,0.000855540951737752,5.8635052929114e-05,0.000114924703741063,0.284124,0.893362,0.000436500485580486,0.000855540951737753,0.000637804911589743,0.0012500976267159
Cyan,0.0025,-0.0051675227358349,0.00432931970525442,500000,6.1225826430199e-06,1.2000261980319e-05,0.001438,0.120292,0.000460047464368624,0.000901693030162502,5.35897780551478e-05,0.00010503596498809,0.2991,0.879708,0.000460047464368624,0.000901693030162502,0.000647517088577591,0.00126913349361208
Cyan,0.005,-0.00512978393771107,0.00404374863476919,500000,5.71872416211828e-06,1.12086993577518e-05,0.002372,0.10217,0.000428325322856354,0.000839517632798454,6.87949651646107e-05,0.000134838131722637,0.335862,0.89783,0.000428325322856354,0.000839517632798454,0.000667920230201182,0.00130912365119432
Cyan,0.01,-0.00448875961613509,0.00358328041166775,500000,5.06752375596638e-06,9.93234656169411e-06,0.002402,0.107674,0.000438361288719704,0.000859188125890621,6.92276013740185e-05,0.000135686098693076,0.33844,0.892326,0.000438361288719705,0.000859188125890621,0.000669176159766619,0.00131158527314257
Cyan,0.02,-0.00372216179437148,0.00316568128769643,500000,4.47694941121102e-06,8.7748208459736e-06,0.00441,0.12568,0.000468795344686783,0.000918838875586095,9.37075439865969e-05,0.00018366678621373,0.337636,0.87432,0.000468795344686783,0.000918838875586095,0.000668786859177122,0.00131082224398716
Cyan,0.035,-0.00300693896941839,0.00283082057482093,500000,4.00338484955657e-06,7.84663430513087e-06,0.007962,0.149588,0.000504403469964274,0.000988630801129976,0.000125686964765643,0.00024634645094066,0.323502,0.850412,0.000504403469964274,0.000988630801129977,0.000661586662495549,0.00129670985849128
Cyan,0.05,-0.00258987055009381,0.00258888737975015,500000,3.66123964389921e-06,7.17602970204246e-06,0.011694,0.163028,0.00052239806893977,0.00102390021512195,0.000152034537944508,0.000297987694371235,0.309046,0.83697,0.000522400649119045,0.00102390527227333,0.000653508331827529,0.00128087633038196
Cyan,0.1,-0.00174534966435272,0.00215693216688844,500000,3.05036272353241e-06,5.97871093812353e-06,0.018984,0.213978,0.000579985198976664,0.00113677098999426,0.000192995376856545,0.000378270938638829,0.260966,0.786022,0.000579985198976664,0.00113677098999426,0.000621068026618663,0.00121729333217258
Cyan,0.2,-0.00115674986716698,0.00174477244565675,500000,2.46748085590265e-06,4.8362624775692e-06,0.028038,0.260002,0.000620324044344567,0.00121583512691535,0.000233460363042637,0.000457582311563569,0.22388,0.739998,0.000620324044344567,0.00121583512691535,0.000589504445445495,0.00115542871307317
